tail -f /var/log/apache2/error.log

[Wed Nov 23 21:05:24.689296 2016] [rewrite:trace3] [pid 27204] mod_rewrite.c(475): [client 176.151.98.236:63831] 176.151.98.236 - - [vcp.gromi.net/sid#7fcd8789cf00][rid#7fcd87808578/initial/redir#9] [perdir /home/guillaume/public_html/] strip per-dir prefix: /home/guillaume/public_html/app/index.php -> app/index.php, referer: http://vcp.gromi.net/~guillaume/app/components/ticket/ticketView.html
[Wed Nov 23 21:05:24.689312 2016] [rewrite:trace3] [pid 27204] mod_rewrite.c(475): [client 176.151.98.236:63831] 176.151.98.236 - - [vcp.gromi.net/sid#7fcd8789cf00][rid#7fcd87808578/initial/redir#9] [perdir /home/guillaume/public_html/] applying pattern '^(.*)/$' to uri 'app/index.php', referer: http://vcp.gromi.net/~guillaume/app/components/ticket/ticketView.html
[Wed Nov 23 21:05:24.689326 2016] [rewrite:trace3] [pid 27204] mod_rewrite.c(475): [client 176.151.98.236:63831] 176.151.98.236 - - [vcp.gromi.net/sid#7fcd8789cf00][rid#7fcd87808578/initial/redir#9] [perdir /home/guillaume/public_html/] strip per-dir prefix: /home/guillaume/public_html/app/index.php -> app/index.php, referer: http://vcp.gromi.net/~guillaume/app/components/ticket/ticketView.html
[Wed Nov 23 21:05:24.689336 2016] [rewrite:trace3] [pid 27204] mod_rewrite.c(475): [client 176.151.98.236:63831] 176.151.98.236 - - [vcp.gromi.net/sid#7fcd8789cf00][rid#7fcd87808578/initial/redir#9] [perdir /home/guillaume/public_html/] applying pattern '^' to uri 'app/index.php', referer: http://vcp.gromi.net/~guillaume/app/components/ticket/ticketView.html
[Wed Nov 23 21:05:24.689356 2016] [rewrite:trace4] [pid 27204] mod_rewrite.c(475): [client 176.151.98.236:63831] 176.151.98.236 - - [vcp.gromi.net/sid#7fcd8789cf00][rid#7fcd87808578/initial/redir#9] [perdir /home/guillaume/public_html/] RewriteCond: input='/home/guillaume/public_html/app/index.php' pattern='!-d' => matched, referer: http://vcp.gromi.net/~guillaume/app/components/ticket/ticketView.html
[Wed Nov 23 21:05:24.689370 2016] [rewrite:trace4] [pid 27204] mod_rewrite.c(475): [client 176.151.98.236:63831] 176.151.98.236 - - [vcp.gromi.net/sid#7fcd8789cf00][rid#7fcd87808578/initial/redir#9] [perdir /home/guillaume/public_html/] RewriteCond: input='/home/guillaume/public_html/app/index.php' pattern='!-f' => matched, referer: http://vcp.gromi.net/~guillaume/app/components/ticket/ticketView.html
[Wed Nov 23 21:05:24.689381 2016] [rewrite:trace2] [pid 27204] mod_rewrite.c(475): [client 176.151.98.236:63831] 176.151.98.236 - - [vcp.gromi.net/sid#7fcd8789cf00][rid#7fcd87808578/initial/redir#9] [perdir /home/guillaume/public_html/] rewrite 'app/index.php' -> 'index.php', referer: http://vcp.gromi.net/~guillaume/app/components/ticket/ticketView.html
[Wed Nov 23 21:05:24.689391 2016] [rewrite:trace3] [pid 27204] mod_rewrite.c(475): [client 176.151.98.236:63831] 176.151.98.236 - - [vcp.gromi.net/sid#7fcd8789cf00][rid#7fcd87808578/initial/redir#9] [perdir /home/guillaume/public_html/] add per-dir prefix: index.php -> /home/guillaume/public_html/index.php, referer: http://vcp.gromi.net/~guillaume/app/components/ticket/ticketView.html
[Wed Nov 23 21:05:24.689402 2016] [rewrite:trace2] [pid 27204] mod_rewrite.c(475): [client 176.151.98.236:63831] 176.151.98.236 - - [vcp.gromi.net/sid#7fcd8789cf00][rid#7fcd87808578/initial/redir#9] [perdir /home/guillaume/public_html/] trying to replace prefix /home/guillaume/public_html/ with /~guillaume/app/, referer: http://vcp.gromi.net/~guillaume/app/components/ticket/ticketView.html
[Wed Nov 23 21:05:24.689418 2016] [rewrite:trace5] [pid 27204] mod_rewrite.c(475): [client 176.151.98.236:63831] 176.151.98.236 - - [vcp.gromi.net/sid#7fcd8789cf00][rid#7fcd87808578/initial/redir#9] strip matching prefix: /home/guillaume/public_html/index.php -> index.php, referer: http://vcp.gromi.net/~guillaume/app/components/ticket/ticketView.html
[Wed Nov 23 21:05:24.689428 2016] [rewrite:trace4] [pid 27204] mod_rewrite.c(475): [client 176.151.98.236:63831] 176.151.98.236 - - [vcp.gromi.net/sid#7fcd8789cf00][rid#7fcd87808578/initial/redir#9] add subst prefix: index.php -> /~guillaume/app/index.php, referer: http://vcp.gromi.net/~guillaume/app/components/ticket/ticketView.html
[Wed Nov 23 21:05:24.689438 2016] [rewrite:trace1] [pid 27204] mod_rewrite.c(475): [client 176.151.98.236:63831] 176.151.98.236 - - [vcp.gromi.net/sid#7fcd8789cf00][rid#7fcd87808578/initial/redir#9] [perdir /home/guillaume/public_html/] internal redirect with /~guillaume/app/index.php [INTERNAL REDIRECT], referer: http://vcp.gromi.net/~guillaume/app/components/ticket/ticketView.html
[Wed Nov 23 21:05:24.689551 2016] [rewrite:trace3] [pid 27204] mod_rewrite.c(475): [client 176.151.98.236:63831] 176.151.98.236 - - [vcp.gromi.net/sid#7fcd8789cf00][rid#7fcd87806b08/initial/redir#10] [perdir /home/guillaume/public_html/] strip per-dir prefix: /home/guillaume/public_html/app/index.php -> app/index.php, referer: http://vcp.gromi.net/~guillaume/app/components/ticket/ticketView.html
[Wed Nov 23 21:05:24.689567 2016] [rewrite:trace3] [pid 27204] mod_rewrite.c(475): [client 176.151.98.236:63831] 176.151.98.236 - - [vcp.gromi.net/sid#7fcd8789cf00][rid#7fcd87806b08/initial/redir#10] [perdir /home/guillaume/public_html/] applying pattern '^(.*)/$' to uri 'app/index.php', referer: http://vcp.gromi.net/~guillaume/app/components/ticket/ticketView.html
[Wed Nov 23 21:05:24.689581 2016] [rewrite:trace3] [pid 27204] mod_rewrite.c(475): [client 176.151.98.236:63831] 176.151.98.236 - - [vcp.gromi.net/sid#7fcd8789cf00][rid#7fcd87806b08/initial/redir#10] [perdir /home/guillaume/public_html/] strip per-dir prefix: /home/guillaume/public_html/app/index.php -> app/index.php, referer: http://vcp.gromi.net/~guillaume/app/components/ticket/ticketView.html
[Wed Nov 23 21:05:24.689591 2016] [rewrite:trace3] [pid 27204] mod_rewrite.c(475): [client 176.151.98.236:63831] 176.151.98.236 - - [vcp.gromi.net/sid#7fcd8789cf00][rid#7fcd87806b08/initial/redir#10] [perdir /home/guillaume/public_html/] applying pattern '^' to uri 'app/index.php', referer: http://vcp.gromi.net/~guillaume/app/components/ticket/ticketView.html
[Wed Nov 23 21:05:24.689605 2016] [rewrite:trace4] [pid 27204] mod_rewrite.c(475): [client 176.151.98.236:63831] 176.151.98.236 - - [vcp.gromi.net/sid#7fcd8789cf00][rid#7fcd87806b08/initial/redir#10] [perdir /home/guillaume/public_html/] RewriteCond: input='/home/guillaume/public_html/app/index.php' pattern='!-d' => matched, referer: http://vcp.gromi.net/~guillaume/app/components/ticket/ticketView.html
[Wed Nov 23 21:05:24.689618 2016] [rewrite:trace4] [pid 27204] mod_rewrite.c(475): [client 176.151.98.236:63831] 176.151.98.236 - - [vcp.gromi.net/sid#7fcd8789cf00][rid#7fcd87806b08/initial/redir#10] [perdir /home/guillaume/public_html/] RewriteCond: input='/home/guillaume/public_html/app/index.php' pattern='!-f' => matched, referer: http://vcp.gromi.net/~guillaume/app/components/ticket/ticketView.html
